,group,name,text,clean_text
36,Data counceling,note37 [Data counceling].jpg,"ONCE A YEAR
I SPEAK ERE.
cars of PEOPLE
WHO WANT TO
MAKE A TRANSITION
FINSIGHTS
I fellow a
",year speak peopl want transit finsight fellow
37,Data counceling,note38 [Data counceling].jpg,"Acommunith NCA
EMRACES THE
NEW GEN OF
KIDS WHO ODDE
going DMED
SCHOOL -
B-20
",acommunith emrac dmed school
38,Data counceling,note39 [Data counceling].jpg,"GENERATIONAL
SHIFT ON KIDS
WHO ARE IN
COUCHE. OR MEDICA
SCHOOL WHO
GREW UP WITH
puman». B-ZD
",gener shift couch medica school grew puman»
39,Data counceling,note40 [Data counceling].jpg,"When X-ray
came we got
radiologists
When AI came
",came radiologist came
40,Data counceling,note41 [Data counceling].jpg,"THEY NEED
LEARN A MACK
TO EACH OPLER
AMEN TRAIN
ME NEXT GEN
YEARS,
",need learn mack opler amen train year
41,Data counceling,note42 [Data counceling].jpg,"MED TEAMS ON
ONE SIDE/DATA
SCIENTIST ON ME
OPER. MY GROUP
A MICROCOSM.
",team side data scientist oper group microcosm
42,Data counceling,note43 [Data counceling].jpg,"We talk abour
automation &
we talk abow
remaniny has
u Ubur
we mink about
üser imput Auan
",talk abour autom talk abow remanini ubur mink üser imput auan
43,Data cleaning,note44 [Data cleaning].jpg,"Data cleaning
800 lines of code,
goo was about cleaning
the data, 200 was
on the model
5724
",data clean line code clean data model 5724
44,Data cleaning,note45 [Data cleaning].jpg,"CLEANING DANA ...
ESSENTIAL, UNA
REWARED WIO
IT YOU CAN'T GET
THE ANSWER.
KE
",clean dana essenti rewar answer
45,Data cleaning,note46 [Data cleaning].jpg,"DATA EXISTS BUT
i is poor piele
",data exist poor piel
46,Data cleaning,note47 [Data cleaning].jpg,"MINING is
MINING. BULD,
SWEAT. YEARS
2 SOMETIMES YOU
JUSE END W
A RE
",mine mine buld sweat year juse
47,Data cleaning,note48 [Data cleaning].jpg,"MY SOFTWARE
ENGINEERS HAVE
BECOME DARA
CLEANERS
How CAN it
TRANSLATE INHO
GENERAL PROBLEM
",softwar engin dara cleaner translat inho gener problem
48,Data cleaning,note49 [Data cleaning].jpg,"PREDICAVE
TOOLS ONLY
AS GOOD AS
Dario FALACY
imposed of cas
uni
Dara bi
",predicav tool good dario falaci impos dara
49,Data cleaning,note50 [Data cleaning].jpg,"BEFER DANABASE
IN ME WAYS-
IND UNBERSIN
NO A
NOT CRISPR
",befer danabas unbersin crispr
50,Data cleaning,note51 [Data cleaning].jpg,"I went to Me
MRC & SAID...
WHAT WE NEED is
CLEAN ME DANA
SET UP PROPER
HEADER FILES &
ONDUCTES A
nies
",went said need clean dana proper header file onduct
51,Data cleaning,note52 [Data cleaning].jpg,"MOTONINZI IS
POSSIBLES
SOMEONE WIU
FUND A.
",motoninzi possibl fund
52,Data cleaning,note53 [Data cleaning].jpg,"MONEY SHOULD
BE PUT INTO
LOWER NANGING
FRUIT ... How do
WE GET DANA IN
A posirion Be
USEFUL?
E
",monei lower nang fruit dana posirion
53,Data cleaning,note54 [Data cleaning].jpg,"WHO would FUND
172 Nicx
WELCOMMEX
NOBODY SEES ir
AS THIER PROBLEM
KA
",fund nicx welcommex thier problem
54,Data cleaning,note55 [Data cleaning].jpg,"YOU GO TRY no
FIND A PUNDING
AGENCY WHO'S
CONNA SAY -
on ya WANT
MACE A OB?
KES
",pund agenc conna want mace
55,Data cleaning,note56 [Data cleaning].jpg,"OPPING
WELCOME TO
CREATE SOFTWARE
FOR WHICH MERE
is A MARKET
PUBUL GOO -
MARKET FAILURE
",welcom creat softwar mere market pubul market failur
56,Data cleaning,note57 [Data cleaning].jpg,"If anyone told
you it's aggregabia
and prep in terms of
what the challeage
is, I would love to
debate them
SDIE
",told aggregabia prep term challeag love debat sdie
57,Data cleaning,note58 [Data cleaning].jpg,"My gut feeling
[nore oppor Gunities]
in modelling and
datusories
even though data
cleaning is
painful SDS
",feel nore oppor guniti model datusori data clean pain
58,Data cleaning,note59 [Data cleaning].jpg,"Alt of folk out
there is know how
to clean data, they
will do it. All the
tools exist. The boot
are free
SD
",folk know clean data tool exist boot free
59,Data cleaning,note60 [Data cleaning].jpg,"If you have money,
you know if you a
city bank you'll buy
Trifactor or Pasta
bodo the prep
SDIO
",monei know citi bank trifactor pasta bodo prep sdio
60,Data cleaning,note61 [Data cleaning].jpg,"IF THERE IS A
TAMR
PRODUCE IDBE
BurlL MAP CAN
ORGANISE DAAI
WRAGLE I MET
is AMARICET, I
",tamr produc burll organis daai wragl amaricet
